teamid,traderid,tradedate,tradetime,productid,productname,productgroupid,exchangegroupid,brokergroupid,exchclearingacctid,quantitylots,quantityunits,unit,price,contractmonth,strike,specialComms,spread,B/S,RMKS,BKR
1,,23/5/2025,23/5/2025 9:20,,marine 0.5%,,1,3,2,,900,,479.75,Jun 25,,,MOC,S,,McQuiling
1,,23/5/2025,23/5/2025 10:50,,marine 0.5%,,1,3,2,,700,,480.00,Jun 25,,,,S,,TFS
1,,23/5/2025,23/5/2025 10:51,,marine 0.5%,,1,3,2,,1000,,465.50,Aug 25,,,,B,,PVM
1,,23/5/2025,23/5/2025 10:53,,marine 0.5%,,1,3,2,,2000,,5.00,Jul 25,,,S,B,,BGC
1,,23/5/2025,23/5/2025 10:53,,marine 0.5%,,1,3,2,,2000,,0.00,Aug 25,,,S,S,,BGC
1,,23/5/2025,23/5/2025 11:06,,380cst,,1,3,2,,4000,,24.00,Jul 25,,,S,B,,FIS
1,,23/5/2025,23/5/2025 11:06,,380cst,,1,3,2,,4000,,0.00,Sep 25,,,S,S,,FIS
1,,23/5/2025,23/5/2025 11:11,,marine 0.5%,,1,3,2,,5000,,8.50,Jun 25,,,S,S,,TFS
1,,23/5/2025,23/5/2025 11:11,,marine 0.5%,,1,3,2,,5000,,0.00,Jul 25,,,S,B,,TFS
1,,23/5/2025,23/5/2025 11:15,,380cst,,1,3,2,,3000,,9.75,Aug 25,,,S,B,,BGC
1,,23/5/2025,23/5/2025 11:16,,380cst,,1,3,2,,3000,,0.00,Sep 25,,,S,S,,BGC
1,,23/5/2025,23/5/2025 11:20,,marine 0.5%,,1,3,2,,1000,,466.50,Aug 25,,,,B,,PVM
1,,23/5/2025,23/5/2025 12:18,,380cst,,1,3,2,,4600,,427.00,Jun 25,,,MOC,S,,BGC
1,,23/5/2025,23/5/2025 13:07,,marine 0.5%,,1,3,2,,1000,,480.00,Jun 25,,,,S,,OB
1,,23/5/2025,23/5/2025 13:35,,marine 0.5%,,1,3,2,,1000,,471.75,Jul 25,,,,B,,BGC
1,,23/5/2025,23/5/2025 14:37,,380cst,,1,3,2,,500,,427.05,Jun 25,,,MOC,S,,Clarkson
1,,23/5/2025,23/5/2025 15:01,,380cst,,1,3,2,,10000,,17.75,Jun 25,,,S,S,,OB
1,,23/5/2025,23/5/2025 15:01,,380cst,,1,3,2,,10000,,0.00,Jul 25,,,S,B,,OB
1,,23/5/2025,23/5/2025 15:56,,marine 0.5%,,1,3,2,,500,,479.50,Jun 25,,,,B,,FIS
1,,23/5/2025,23/5/2025 16:33,,380cst,,1,3,2,,2000,,427.75,Jun 25,,,,S,,Tullet
1,,23/5/2025,23/5/2025 17:45,,marine 0.5%,,1,3,2,,1000,,473.75,Jul 25,,,,S,,TFS
1,,23/5/2025,23/5/2025 17:47,,marine 0.5%,,1,3,2,,2000,,482.50,Jun 25,,,,S,,BGC
1,,23/5/2025,23/5/2025 17:47,,marine 0.5%,,1,3,2,,2000,,482.25,Jun 25,,,,B,,BGC
1,,23/5/2025,23/5/2025 17:47,,marine 0.5%,,1,3,2,,2000,,482.25,Jun 25,,,,S,,BGC
1,,23/5/2025,23/5/2025 17:47,,marine 0.5%,,1,3,2,,2000,,482.00,Jun 25,,,,B,,BGC
1,,23/5/2025,23/5/2025 17:47,,marine 0.5%,,1,3,2,,2000,,482.25,Jun 25,,,,S,,BGC
1,,23/5/2025,23/5/2025 17:47,,marine 0.5%,,1,3,2,,2000,,482.00,Jun 25,,,,B,,BGC
1,,23/5/2025,23/5/2025 17:52,,marine 0.5%,,1,3,2,,500,,482.00,Jun 25,,,,B,,FIS
1,,23/5/2025,23/5/2025 17:53,,marine 0.5%,,1,3,2,,1000,,482.50,Jun 25,,,,S,,TFS
1,,23/5/2025,23/5/2025 19:52,,marine 0.5%,,1,3,2,,1000,,470.50,Jul 25,,,,B,,FIS
1,,23/5/2025,23/5/2025 21:54,,380cst,,1,3,2,,5000,,23.25,Jul 25,,,S,B,,FIS
1,,23/5/2025,23/5/2025 21:54,,380cst,,1,3,2,,5000,,0.00,Sep 25,,,S,S,,FIS
1,,23/5/2025,23/5/2025 22:23,,380cst,,1,3,2,,2000,,23.00,Jul 25,,,S,B,,FIS
1,,23/5/2025,23/5/2025 22:23,,380cst,,1,3,2,,2000,,0.00,Sep 25,,,S,S,,FIS
1,,23/5/2025,23/5/2025 22:54,,marine 0.5%,,1,3,2,,2000,,475.50,Jul 25,,,,S,,FIS
1,,23/5/2025,22/5/2025 16:12,,naphtha nwe crack,,1,3,2,,2000,,-3.80,Jun25,,,,B,,OB
1,,23/5/2025,23/5/2025 10:56,,naphtha japan,,1,3,2,,3500,,536.50,Sep25,,,,B,crack -2.25,OB
1,,23/5/2025,23/5/2025 11:22,,naphtha japan,,1,3,2,,1000,,546.75,Jul25,,,,S,,Enmore
1,,23/5/2025,23/5/2025 11:56,,naphtha japan,,1,3,2,,1000,,535.00,Nov25,,,,S,crack -2.52,Enmore
1,,23/5/2025,23/5/2025 14:05,,naphtha japan,,1,3,2,,1000,,533.00,Dec25,,,,S,crack -2.93,TFS
1,,23/5/2025,23/5/2025 14:47,,naphtha japan,,1,3,2,,3000,,11.25,Jun25,,,,B,crack roll 0.47,TFS
1,,23/5/2025,23/5/2025 14:47,,naphtha japan,,1,3,2,,3000,,0.00,Aug25,,,,S,,TFS
1,,23/5/2025,23/5/2025 14:47,,naphtha japan,,1,3,2,,3000,,6.75,Jun25,,,,S,crack roll 0.30,Ginga
1,,23/5/2025,23/5/2025 14:47,,naphtha japan,,1,3,2,,3000,,0.00,Jul25,,,,B,,Ginga
1,,23/5/2025,23/5/2025 15:33,,naphtha japan,,1,3,2,,2000,,4.25,Oct25,,,,S,,Ginga
1,,23/5/2025,23/5/2025 15:33,,naphtha japan,,1,3,2,,2000,,0.00,Dec25,,,,B,,Ginga
1,,23/5/2025,23/5/2025 15:36,,naphtha japan,,1,3,2,,3000,,4.75,Jul25,,,,S,,OB
1,,23/5/2025,23/5/2025 15:36,,naphtha japan,,1,3,2,,3000,,0.00,Aug25,,,,B,,OB
1,,23/5/2025,23/5/2025 16:25,,naphtha japan,,1,3,2,,1000,,553.10,Jun25,,,moc,S,,Ginga
1,,23/5/2025,22/5/2025 16:12,,naphtha nwe crack,,1,3,2,,1110,,-4.20,Jun25,,,,B,,OB
1,,23/5/2025,23/5/2025 16:38,,naphtha japan,,1,3,2,,1000,,24.75,Jun25,,,,B,,OB
1,,23/5/2025,23/5/2025 16:38,,naphtha nwe,,1,3,2,,1000,,0.00,Jun25,,,,S,,OB
1,,23/5/2025,22/5/2025 16:12,,naphtha nwe crack,,1,3,2,,4000,,-4.15,Jun25,,,,B,,OB
1,,23/5/2025,23/5/2025 17:13,,naphtha japan,,1,3,2,,4000,,544.00,Jun25,,,,S,crack -1.33,TP
1,,23/5/2025,23/5/2025 16:38,,naphtha japan,,1,3,2,,4000,,24.75,Jun25,,,,B,,TFS
1,,23/5/2025,23/5/2025 16:38,,naphtha nwe,,1,3,2,,4000,,0.00,Jun25,,,,S,,TFS
