teamid,traderid,tradedate,tradetime,productid,productname,productgroupid,exchangegroupid,brokergroupid,exchclearingacctid,quantitylots,quantityunits,unit,price,contractmonth,strike,specialComms,spread,B/S
1,,20/6/2025,20/6/2025 9:06,,380cst,,1,3,2,,2000,,463.75,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:07,,marine 0.5%,,1,3,2,,3000,,533,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:09,,marine 0.5%,,1,3,2,,2000,,542.25,Jul-25,,,,S
1,,20/6/2025,20/6/2025 9:11,,380cst,,1,3,2,,5000,,465,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:13,,380cst,,1,3,2,,5000,,463.5,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:13,,380cst,,1,3,2,,5000,,439.25,Jan-26,,,,S
1,,20/6/2025,20/6/2025 9:13,,380cst,,1,3,2,,2000,,464,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:19,,marine 0.5%,,1,3,2,,1000,,533,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:20,,marine 0.5%,,1,3,2,,1000,,533.25,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:20,,marine 0.5%,,1,3,2,,1000,,533.5,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:20,,marine 0.5%,,1,3,2,,1000,,533.5,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:35,,marine 0.5%,,1,3,2,,1000,,532.75,Sept-25,,,,S
1,,20/6/2025,20/6/2025 9:42,,marine 0.5%,,1,3,2,,1000,,528,Oct-25,,,,S
1,,20/6/2025,20/6/2025 9:42,,marine 0.5%,,1,3,2,,2000,,527.5,Oct-25,,,,S
1,,20/6/2025,20/6/2025 10:34,,marine 0.5%,,1,3,2,,300,,535.75,Aug-25,,,,B
1,,20/6/2025,20/6/2025 14:09,,380cst,,1,3,2,,3000,,475.95,Jul-25,,,,S
1,,20/6/2025,20/6/2025 14:58,,marine 0.5%,,1,3,2,,1700,,542.25,Jul-25,,,,S
1,,20/6/2025,20/6/2025 15:08,,marine 0.5%,,1,3,2,,500,,535,Aug-25,,,,B
1,,20/6/2025,20/6/2025 15:31,,marine 0.5%,,1,3,2,,5000,,5.5,Jul-25,,,S,B
1,,20/6/2025,20/6/2025 15:31,,marine 0.5%,,1,3,2,,5000,,0,Aug-25,,,S,S
1,,20/6/2025,20/6/2025 15:31,,marine 0.5%,,1,3,2,,1000,,542,Jul-25,,,,S
1,,20/6/2025,20/6/2025 16:11,,marine 0.5%,,1,3,2,,1000,,542.5,Jul-25,,,,B
1,,20/6/2025,20/6/2025 16:37,,marine 0.5%,,1,3,2,,2000,,543,Jul-25,,,,B
1,,20/6/2025,20/6/2025 17:05,,marine 0.5%,,1,3,2,,3000,,68,Aug-25,,,S,S
1,,20/6/2025,20/6/2025 17:05,,380cst,,1,3,2,,3000,,0,Aug-25,,,S,B
1,,20/6/2025,20/6/2025 17:05,,marine 0.5%,,1,3,2,,2000,,68.25,Aug-25,,,S,S
1,,20/6/2025,20/6/2025 17:05,,380cst,,1,3,2,,2000,,0,Aug-25,,,S,B
1,,20/6/2025,20/6/2025 17:26,,marine 0.5%,,1,3,2,,350,,542,Jul-25,,,,B
1,,20/6/2025,20/6/2025 17:43,,380cst,,1,3,2,,5000,,3.5,Jul-25,,,S,B
1,,20/6/2025,20/6/2025 17:43,,380cst,,1,3,2,,5000,,0,Aug-25,,,S,S
1,,20/6/2025,20/6/2025 17:43,,380cst,,1,3,2,,5000,,4,Jul-25,,,S,S
1,,20/6/2025,20/6/2025 17:43,,380cst,,1,3,2,,5000,,0,Aug-25,,,S,B
1,,20/6/2025,20/6/2025 18:06,,marine 0.5%,,1,3,2,,800,,541,Jul-25,,,,B
1,,20/6/2025,20/6/2025 18:12,,marine 0.5%,,1,3,2,,1000,,541,Jul-25,,,,B
1,,20/6/2025,20/6/2025 20:50,,380cst,,1,3,2,,5000,,5,Jul-25,,,S,S
1,,20/6/2025,20/6/2025 20:50,,380cst,,1,3,2,,5000,,0,Aug-25,,,S,B
1,,20/6/2025,20/6/2025 20:50,,380cst,,1,3,2,,5000,,4.75,Jul-25,,,S,B
1,,20/6/2025,20/6/2025 20:50,,380cst,,1,3,2,,5000,,0,Aug-25,,,S,S
1,,20/6/2025,20/6/2025 21:38,,marine 0.5%,,1,3,2,,1300,,538,Jul-25,,,,S
1,,20/6/2025,20/6/2025 22:02,,380cst,,1,3,2,,5000,,470,Jul-25,,,,B
