traderid,tradedate,tradetime,productid,productname,productgroupid,exchangegroupid,brokergroupid,exchclearingacctid,quantitylots,quantityunits,unit,price,contractmonth,strike,specialComms,spread,b/s,put/call,RMKS,BKR
,,21:00:44,,FE,,2,3,2,50,5000,,101.25,Oct-25,,,,B,,GFI,
,,21:03:55,,FE,,2,3,2,50,5000,,101.3,Nov-25,,,,S,,bpi,
,,21:06:36,,FE,,2,3,2,50,5000,,101.2,Nov-25,,,,S,,enmore,
,,21:07:43,,FE,,2,3,2,50,5000,,101.35,Oct-25,,,,B,,GFI,
,,21:11:56,,FE,,2,3,2,20,2000,,101.35,Oct-25,,,,B,,CLARKSONS,
,,21:20:02,,FE,,2,3,2,20,2000,,101.25,Oct-25,,,,B,,GFI,
,,21:26:12,,FE,,2,3,2,100,10000,,101.2,Sept-25,,,,S,,MYSTEEL,
,,21:30:28,,FE,,2,3,2,300,30000,,101.1,Nov-25,,,,S,,SSY,
,,21:37:50,,FE,,2,3,2,39,3900,,101.1,Oct-25,,,,S,,GFI,
,,21:38:03,,FE,,2,3,2,200,20000,,101,Sept-25,,,,S,,GFI,
,,21:40:04,,FE,,2,3,2,100,10000,,101,Oct-25,,,,S,,bpi,
,,21:44:14,,FE,,2,3,2,39,3900,,100.9,Oct-25,,,,S,,GFI,
,,21:58:47,,FE,,2,3,2,100,10000,,100.7,Oct-25,,,,S,,MYSTEEL,
,,22:00:15,,FE,,2,3,2,150,15000,,1.15,Jan-26,,,S,B,,gfi,
,,22:00:15,,FE,,2,3,2,150,15000,,1.15,Feb-26,,,S,B,,gfi,
,,22:00:15,,FE,,2,3,2,150,15000,,1.15,Mar-26,,,S,B,,gfi,
,,22:00:15,,FE,,2,3,2,150,15000,,1.15,Oct-25,,,S,S,,gfi,
,,22:00:15,,FE,,2,3,2,150,15000,,1.15,Nov-25,,,S,S,,gfi,
,,22:00:15,,FE,,2,3,2,150,15000,,1.15,Dec-25,,,S,S,,gfi,
,,22:15:56,,FE,,2,3,2,100,10000,,99.8,Feb-26,,,,S,,ssy,
,,22:20:54,,FE,,2,3,2,50,5000,,100.95,Oct-25,,,,B,,GFI,
,,22:28:30,,FE,,2,3,2,20,2000,,101.1,Oct-25,,,,B,,CLARKSONS,
,,22:46:13,,FE,,2,3,2,50,5000,,101.1,Oct-25,,,,B,,GFI,
,,23:01:25,,FE,,2,3,2,50,5000,,101.05,Oct-25,,,,B,,GFI,
,,13:04:32,,FE,,2,3,2,50,5000,,100.5,Sept-25,,,,S,,CLARKSONS,
,,13:29:34,,FE,,2,3,2,44,4400,,100.5,Oct-25,,,,S,,GFI,
,,14:45:59,,FE,,2,3,2,150,15000,,99.1,Jan-26,,,,B,,GFI,
,,14:45:59,,FE,,2,3,2,150,15000,,99.1,Feb-26,,,,B,,GFI,
,,14:46:00,,FE,,2,3,2,150,15000,,99.1,Mar-26,,,,B,,GFI,
,,14:46:08,,FE,,2,3,2,200,20000,,100.3,Nov-25,,,,S,,GFI,
,,14:57:34,,FE,,2,3,2,30,3000,,96.65,Jan-26,,,,B,,gfi,
,,14:57:34,,FE,,2,3,2,30,3000,,96.65,Feb-26,,,,B,,gfi,
,,14:57:34,,FE,,2,3,2,30,3000,,96.65,Mar-26,,,,B,,gfi,
,,14:57:35,,FE,,2,3,2,30,3000,,96.65,Apr-26,,,,B,,gfi,
,,14:57:35,,FE,,2,3,2,30,3000,,96.65,May-26,,,,B,,gfi,
,,14:57:35,,FE,,2,3,2,30,3000,,96.65,Jun-26,,,,B,,gfi,
,,14:57:35,,FE,,2,3,2,30,3000,,96.65,Jul-26,,,,B,,gfi,
,,14:57:36,,FE,,2,3,2,30,3000,,96.65,Aug-26,,,,B,,gfi,
,,14:57:36,,FE,,2,3,2,30,3000,,96.65,Sept-26,,,,B,,gfi,
,,14:57:36,,FE,,2,3,2,30,3000,,96.65,Oct-26,,,,B,,gfi,
,,14:57:36,,FE,,2,3,2,30,3000,,96.65,Nov-26,,,,B,,gfi,
,,14:57:37,,FE,,2,3,2,30,3000,,96.65,Dec-26,,,,B,,gfi,
,,17:55:07,,FE,,2,3,2,250,25000,,100.6,Jan-26,,,S,S,,gfi,
,,17:55:07,,FE,,2,3,2,250,25000,,101.3,Oct-25,,,S,B,,gfi,
,,18:16:43,,FE,,2,3,2,106,10600,,100.95,Dec-25,,,,B,,option,
,,21:05:03,,FE,,2,3,2,55,5500,,101.2,Sept-25,,,,B,,jb,
,,21:37:58,,FE,,2,3,2,170,17000,,101,Sept-25,,,,S,,FIS,
,,9:04:30,,FE,,2,3,2,100,10000,,100.9,Sept-25,,,,S,,FIS,
,,9:04:34,,FE,,2,3,2,50,5000,,100.9,Sept-25,,,,S,,CLARKSONS,
,,9:28:05,,FE,,2,3,2,50,5000,,100.8,Sept-25,,,,S,,CLARKSONS,
,,10:01:09,,FE,,2,3,2,50,5000,,100.6,Sept-25,,,,S,,CLARKSONS,
,,10:01:09,,FE,,2,3,2,60,6000,,100.6,Sept-25,,,,S,,CLARKSONS,
,,10:28:20,,FE,,2,3,2,110,11000,,100.5,Nov-25,,,,B,,FIS,
,,10:29:10,,FE,,2,3,2,10,1000,,100.4,Dec-25,,,S,S,,fis,
,,10:29:10,,FE,,2,3,2,10,1000,,100.65,Oct-25,,,S,B,,fis,
,,10:30:41,,FE,,2,3,2,30,3000,,99.55,Jan-26,,,,S,,FIS,
,,10:30:41,,FE,,2,3,2,30,3000,,99.55,Feb-26,,,,S,,FIS,
,,10:30:41,,FE,,2,3,2,30,3000,,99.55,Mar-26,,,,S,,FIS,
,,11:25:03,,FE,,2,3,2,100,10000,,100.6,Sept-25,,,S,S,,mysteel,
,,11:25:03,,FE,,2,3,2,100,10000,,101.3,Aug-25,,,S,B,,mysteel,
,,13:18:09,,FE,,2,3,2,91,9100,,100.6,Oct-25,,,,S,,mrr,
,,14:19:49,,FE,,2,3,2,600,60000,,100.45,Sept-25,,,,S,,CLARKSONS,
,,14:27:03,,FE,,2,3,2,300,30000,,100.5,Sept-25,,,,S,,CLARKSONS,
,,15:26:05,,FE,,2,3,2,80,8000,,100.5,Oct-25,,,,S,,SSY,
,,15:44:01,,FE,,2,3,2,100,10000,,100.45,Nov-25,,,,S,,SSY,
,,15:46:51,,FE,,2,3,2,200,20000,,100.5,Nov-25,,,,S,,SSY,
,,16:04:56,,FE,,2,3,2,91,9100,,100.3,Dec-25,,,,S,,Mysteel,
,,17:55:07,,FE,,2,3,2,250,25000,,100.6,Jan-26,,,S,S,,gfi,
,,17:55:07,,FE,,2,3,2,250,25000,,101.3,Oct-25,,,S,B,,gfi,
,,18:16:43,,FE,,2,3,2,106,10600,,100.95,Dec-25,,,,B,,option,
,,21:05:03,,FE,,2,3,2,55,5500,,101.2,Sept-25,,,,B,,jb,
,,21:37:58,,FE,,2,3,2,170,17000,,101,Sept-25,,,,S,,FIS,
,,9:04:30,,FE,,2,3,2,100,10000,,100.9,Sept-25,,,,S,,FIS,
,,9:04:34,,FE,,2,3,2,50,5000,,100.9,Sept-25,,,,S,,CLARKSONS,
,,9:28:05,,FE,,2,3,2,50,5000,,100.8,Sept-25,,,,S,,CLARKSONS,
,,10:01:09,,FE,,2,3,2,50,5000,,100.6,Sept-25,,,,S,,CLARKSONS,
,,10:01:09,,FE,,2,3,2,60,6000,,100.6,Sept-25,,,,S,,CLARKSONS,
,,10:28:20,,FE,,2,3,2,110,11000,,100.5,Nov-25,,,,B,,FIS,
,,10:29:10,,FE,,2,3,2,10,1000,,100.4,Dec-25,,,S,S,,fis,
,,10:29:10,,FE,,2,3,2,10,1000,,100.65,Oct-25,,,S,B,,fis,
,,10:30:41,,FE,,2,3,2,30,3000,,99.55,Jan-26,,,,S,,FIS,
,,10:30:41,,FE,,2,3,2,30,3000,,99.55,Feb-26,,,,S,,FIS,
,,10:30:41,,FE,,2,3,2,30,3000,,99.55,Mar-26,,,,S,,FIS,
,,11:25:03,,FE,,2,3,2,100,10000,,100.6,Sept-25,,,S,S,,mysteel,
,,11:25:03,,FE,,2,3,2,100,10000,,101.3,Aug-25,,,S,B,,mysteel,
